schema_name,table_name,table_type,column_position,column_name,data_type,column_type,is_nullable,column_default,extra,column_key,char_max_length,numeric_precision,numeric_scale,column_comment,is_primary_key,primary_key_name,pk_ordinal_position,is_foreign_key,foreign_key_name,referenced_table_schema,referenced_table_name,referenced_column_name,fk_update_rule,fk_delete_rule
bcd_questionnaire,answer,BASE TABLE,1,answer_id,varchar,varchar(36),NO,,,PRI,36,,,,YES,PRIMARY,1,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,2,question_id,varchar,varchar(255),NO,,,MUL,255,,,,NO,,,YES,answer_ibfk_1,bcd_questionnaire,question,question_id,NO ACTION,NO ACTION
bcd_questionnaire,answer,BASE TABLE,3,answer,text,text,YES,,,,65535,,,,NO,,,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,4,answer_order,int,int,YES,,,,,10,0,,NO,,,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,5,answer_value,float,float,YES,,,,,12,,,NO,,,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,6,created_by,varchar,varchar(255),YES,,,,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,7,created_date,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,answer,BASE TABLE,8,updated_date,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,1,question_id,varchar,varchar(36),NO,,,PRI,36,,,,YES,PRIMARY,1,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,2,question,text,text,YES,,,,65535,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,3,section_id,varchar,varchar(255),YES,,,MUL,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,4,question_number,int,int,YES,,,UNI,,10,0,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,5,created_by,varchar,varchar(255),YES,,,,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,6,created_date,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,7,updated_date,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,8,is_mandatory,tinyint,tinyint(1),YES,,,,,3,0,,NO,,,NO,,,,,,
bcd_questionnaire,question,BASE TABLE,9,related_to,varchar,varchar(255),YES,,,,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,1,section_id,varchar,varchar(255),NO,,,PRI,255,,,,YES,PRIMARY,1,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,2,section_name,text,text,YES,,,,65535,,,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,3,date_created,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,4,date_updated,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,5,section_order,int,int,YES,,,,,10,0,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,6,subsection_order,char,char(1),YES,,,,1,,,,NO,,,NO,,,,,,
bcd_questionnaire,sections,BASE TABLE,7,created_by,varchar,varchar(255),YES,,,,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_data_table,BASE TABLE,1,session_data_id,varchar,varchar(255),NO,,,PRI,255,,,,YES,PRIMARY,1,NO,,,,,,
bcd_questionnaire,session_data_table,BASE TABLE,2,session_id,varchar,varchar(255),NO,,,MUL,255,,,,NO,,,YES,session_id,bcd_questionnaire,session_table,session_id,NO ACTION,NO ACTION
bcd_questionnaire,session_data_table,BASE TABLE,3,question,text,text,YES,,,,65535,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_data_table,BASE TABLE,4,answer,text,text,YES,,,,65535,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_data_table,BASE TABLE,5,created_by,varchar,varchar(255),YES,,,,255,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_data_table,BASE TABLE,6,created_at,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_table,BASE TABLE,1,session_id,varchar,varchar(36),NO,,,PRI,36,,,,YES,PRIMARY,1,NO,,,,,,
bcd_questionnaire,session_table,BASE TABLE,2,ip_address,varchar,varchar(45),YES,,,,45,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_table,BASE TABLE,3,session_start_time,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
bcd_questionnaire,session_table,BASE TABLE,4,session_end_time,datetime,datetime,YES,,,,,,,,NO,,,NO,,,,,,
